"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11402,1000,8,2,"gllvm_la",TRUE,TRUE,0.0600714359382449,0.624310019466771,0.735870254730787,FALSE,FALSE,5.02546156304764,NA,0.390650130038969,35.29,FALSE,NA
11402,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11403,1000,8,2,"gtmb_va",TRUE,FALSE,0.0261060789238137,0.170271679019305,1.34228528099307,FALSE,FALSE,5.09262299727814,6.75260488744861e-05,NA,50.201,TRUE,"status=failed_health_gate"
11403,1000,8,2,"gtmb_la",TRUE,TRUE,0.0263226229568238,0.134777790982017,1.24147756953726,FALSE,FALSE,5.03368334299961,0.000490483514310667,0.618780753540268,1.87899999999999,TRUE,NA
11403,1000,8,2,"gllvm_la",TRUE,TRUE,0.0698590305022521,0.725301357535958,0.410039511099548,FALSE,FALSE,4.78540865394145,NA,0.390297196066497,41.449,FALSE,NA
11403,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11404,1000,8,2,"gtmb_va",TRUE,FALSE,0.0245687757475563,0.169935356699384,1.14081965274004,FALSE,FALSE,4.97984699330549,0.000126377579529935,NA,54.356,TRUE,"status=failed_health_gate"
11404,1000,8,2,"gtmb_la",TRUE,TRUE,0.0265933165564556,0.238514534437089,0.987147724263515,FALSE,FALSE,4.80834632632588,0.000425979568027812,0.507133472497924,2.143,TRUE,NA
11404,1000,8,2,"gllvm_la",TRUE,TRUE,0.0720867401324532,0.727345805445015,0.358048151734595,FALSE,FALSE,4.6141804339715,NA,0.313982562012786,15.045,FALSE,NA
11404,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11405,1000,8,2,"gtmb_va",TRUE,FALSE,0.0277885696914233,0.276456496227654,1.05310061287139,FALSE,FALSE,4.87007130125331,7.16006867976272e-05,NA,55.44,TRUE,"status=failed_health_gate"
11405,1000,8,2,"gtmb_la",TRUE,TRUE,0.0278114113737024,0.381206599606636,0.965760889583799,FALSE,FALSE,4.80375633744876,0.000531046746156782,0.568513227346295,3.48,TRUE,NA
11405,1000,8,2,"gllvm_la",TRUE,TRUE,0.060353981745748,0.723372437675194,0.371073522941318,FALSE,FALSE,4.78988831693886,NA,0.352837142261218,27.589,FALSE,NA
11405,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11406,1000,8,2,"gtmb_va",TRUE,FALSE,0.0250231622266778,0.194172278327565,1.15949721006541,FALSE,FALSE,5.0150883890929,7.14471998898986e-05,NA,50.025,TRUE,"status=failed_health_gate"
11406,1000,8,2,"gtmb_la",TRUE,TRUE,0.0253638200778994,0.236808403531229,1.05448906261897,FALSE,FALSE,4.94092146777986,0.000634249136681891,0.578088263623764,2.09,TRUE,NA
11406,1000,8,2,"gllvm_la",TRUE,TRUE,0.0731579559802945,0.777942268087964,0.347386290788487,FALSE,FALSE,4.77001755845393,NA,0.375637519727587,27.168,FALSE,NA
11406,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11407,1000,8,2,"gtmb_va",TRUE,FALSE,0.0289038272178328,0.126606461571492,1.29741387588293,FALSE,FALSE,4.93890294658173,4.7881692813001e-05,NA,52.404,TRUE,"status=failed_health_gate"
